fetch_date,sku,price
01/07/2012,LD02639682,2253
01/07/2012,LD02639801,2325
01/07/2012,LD02655762,2332
01/07/2012,LD02655558,2366
01/07/2012,LD02661000,2381
01/07/2012,LD02659891,2385
01/07/2012,LD02655641,2427
01/07/2012,LD02661147,2519
01/07/2012,LD02660912,1472
01/07/2012,LD02635321,1156
01/07/2012,LD02635316,1298
01/07/2012,LD02652712,1543
01/07/2012,LD02660931,952
01/07/2012,LD02635329,1212
01/07/2012,LD02660804,868
01/07/2012,LD02660963,1211
01/07/2012,LD02661782,1226
01/07/2012,LD02590708,513
01/07/2012,LD02658537,753
01/07/2012,LD02622660,884
01/07/2012,LD02639626,1112
01/07/2012,LD02604901,1344
01/07/2012,LD02620821,1398
01/07/2012,LD02653536,712
01/07/2012,LD02661284,744
01/07/2012,LD02661030,758
01/07/2012,LD02655597,789
01/07/2012,LD02660798,800
01/07/2012,LD02658654,827
01/07/2012,LD02658545,846
01/07/2012,LD02602362,967
01/07/2012,LD02652904,1153
01/07/2012,LD02596534,1189
01/07/2012,LD02600159,611
01/07/2012,LD02653511,633
01/07/2012,LD02662068,684
01/07/2012,LD02653713,909
01/07/2012,LD02661645,984
01/07/2012,LD02662230,821
01/07/2012,LD02662288,611
01/07/2012,LD02652735,700
01/07/2012,LD02662242,617
01/07/2012,LD02661732,621
01/07/2012,LD02661582,631
01/07/2012,LD02661319,868
01/07/2012,LD02612446,946
01/07/2012,LD02655384,1055
01/07/2012,LD02662161,527
01/07/2012,LD02660962,680
01/07/2012,LD02661405,784
01/07/2012,LD02641540,882
01/07/2012,LD02655715,520
01/07/2012,LD02662222,559
01/07/2012,LD02146331,596
01/07/2012,LD02661152,597
01/07/2012,LD02652663,624
01/07/2012,LD02662292,668
01/07/2012,LD02661171,761
01/07/2012,LD02653669,817
01/07/2012,LD02618497,954
01/07/2012,LD02661538,538
01/07/2012,LD02661912,542
01/07/2012,LD02661380,552
01/07/2012,LD02658657,576
01/07/2012,LD02658689,576
01/07/2012,LD02661881,582
01/07/2012,LD02661145,584
01/07/2012,LD02661379,647
01/07/2012,LD02658777,683
01/07/2012,LD02658749,729
01/07/2012,LD02639902,861
01/07/2012,LD02639758,864
01/07/2012,LD02639954,1162
01/07/2012,LD02653157,471
01/07/2012,LD02660942,476
01/07/2012,LD02661451,477
01/07/2012,LD02655507,497
01/07/2012,LD02655796,504
01/07/2012,LD02661901,514
01/07/2012,LD02662129,514
01/07/2012,LD02661903,518
01/07/2012,LD02661381,524
01/07/2012,LD02611951,553
01/07/2012,LD02622797,612
01/07/2012,LD02622832,612
01/07/2012,LD02661795,654
01/07/2012,LD02639887,657
01/07/2012,LD02639684,661
01/07/2012,LD02622791,672
01/07/2012,LD02662241,675
01/07/2012,LD02652573,706
01/07/2012,LD02653443,714
01/07/2012,LD02639690,721
01/07/2012,LD02639634,735
